date,weekday,is_trading_day,reason,name
2016-07-02,Saturday,false,weekend,주말
2016-07-03,Sunday,false,weekend,주말
2016-07-09,Saturday,false,weekend,주말
2016-07-10,Sunday,false,weekend,주말
2016-07-16,Saturday,false,weekend,주말
2016-07-17,Sunday,false,weekend,주말
2016-07-23,Saturday,false,weekend,주말
2016-07-24,Sunday,false,weekend,주말
2016-07-30,Saturday,false,weekend,주말
2016-07-31,Sunday,false,weekend,주말
2016-08-06,Saturday,false,weekend,주말
2016-08-07,Sunday,false,weekend,주말
2016-08-13,Saturday,false,weekend,주말
2016-08-14,Sunday,false,weekend,주말
2016-08-15,Monday,false,holiday,광복절
2016-08-20,Saturday,false,weekend,주말
2016-08-21,Sunday,false,weekend,주말
2016-08-27,Saturday,false,weekend,주말
2016-08-28,Sunday,false,weekend,주말
2016-09-03,Saturday,false,weekend,주말
2016-09-04,Sunday,false,weekend,주말
2016-09-10,Saturday,false,weekend,주말
2016-09-11,Sunday,false,weekend,주말
2016-09-14,Wednesday,false,holiday,추석
2016-09-15,Thursday,false,holiday,추석
2016-09-16,Friday,false,holiday,추석
2016-09-17,Saturday,false,weekend,주말
2016-09-18,Sunday,false,weekend,주말
2016-09-24,Saturday,false,weekend,주말
2016-09-25,Sunday,false,weekend,주말
2016-10-01,Saturday,false,weekend,주말
2016-10-02,Sunday,false,weekend,주말
2016-10-03,Monday,false,holiday,개천절
2016-10-08,Saturday,false,weekend,주말
2016-10-09,Sunday,false,weekend,주말
2016-10-15,Saturday,false,weekend,주말
2016-10-16,Sunday,false,weekend,주말
2016-10-22,Saturday,false,weekend,주말
2016-10-23,Sunday,false,weekend,주말
2016-10-29,Saturday,false,weekend,주말
2016-10-30,Sunday,false,weekend,주말
2016-11-05,Saturday,false,weekend,주말
2016-11-06,Sunday,false,weekend,주말
2016-11-12,Saturday,false,weekend,주말
2016-11-13,Sunday,false,weekend,주말
2016-11-19,Saturday,false,weekend,주말
2016-11-20,Sunday,false,weekend,주말
2016-11-26,Saturday,false,weekend,주말
2016-11-27,Sunday,false,weekend,주말
2016-12-03,Saturday,false,weekend,주말
2016-12-04,Sunday,false,weekend,주말
2016-12-10,Saturday,false,weekend,주말
2016-12-11,Sunday,false,weekend,주말
2016-12-17,Saturday,false,weekend,주말
2016-12-18,Sunday,false,weekend,주말
2016-12-24,Saturday,false,weekend,주말
2016-12-25,Sunday,false,weekend,주말
2016-12-30,Friday,false,holiday,연말 증시 휴장일
2016-12-31,Saturday,false,weekend,주말
2017-01-01,Sunday,false,weekend,주말
2017-01-07,Saturday,false,weekend,주말
2017-01-08,Sunday,false,weekend,주말
2017-01-14,Saturday,false,weekend,주말
2017-01-15,Sunday,false,weekend,주말
2017-01-21,Saturday,false,weekend,주말
2017-01-22,Sunday,false,weekend,주말
2017-01-27,Friday,false,holiday,설날
2017-01-28,Saturday,false,weekend,주말
2017-01-29,Sunday,false,weekend,주말
2017-01-30,Monday,false,holiday,설날
2017-02-04,Saturday,false,weekend,주말
2017-02-05,Sunday,false,weekend,주말
2017-02-11,Saturday,false,weekend,주말
2017-02-12,Sunday,false,weekend,주말
2017-02-18,Saturday,false,weekend,주말
2017-02-19,Sunday,false,weekend,주말
2017-02-25,Saturday,false,weekend,주말
2017-02-26,Sunday,false,weekend,주말
2017-03-01,Wednesday,false,holiday,3·1절
2017-03-04,Saturday,false,weekend,주말
