date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,43400,43450,43000,43050,959503,38.67
2016-07-04,43350,43450,42900,42950,935735,38.6
2016-07-05,43000,43200,42550,42650,893053,38.54
2016-07-06,42500,42600,41250,41400,2035674,38.34
2016-07-07,41650,42150,41500,41550,1035909,38.32
2016-07-08,41400,41700,40800,40900,1371190,38.27
2016-07-11,41150,41500,40950,41300,841161,38.26
2016-07-12,41500,41650,41300,41600,796005,38.24
2016-07-13,41700,42300,41700,41850,989250,38.22
2016-07-14,41750,41750,41050,41300,959827,38.19
2016-07-15,41400,42000,41400,41900,1085806,38.24
2016-07-18,42150,42200,41100,41350,1089528,38.21
2016-07-19,41400,41750,40850,41700,753339,38.22
2016-07-20,41400,41850,41200,41700,561154,38.22
2016-07-21,41900,41900,41350,41650,696069,38.2
2016-07-22,41550,41900,41400,41650,549272,38.21
2016-07-25,42000,43150,41950,43100,1748417,38.31
2016-07-26,43050,43350,42700,43050,967871,38.31
2016-07-27,43150,43250,42650,43150,1125044,38.24
2016-07-28,43300,43750,42450,42500,1084585,38.21
2016-07-29,42500,42750,42150,42150,982172,38.2
2016-08-01,42450,42750,42150,42250,756452,38.2
2016-08-02,42050,42200,41550,41750,814103,38.17
2016-08-03,41400,41500,40850,41000,1575602,38.08
2016-08-04,41000,41050,40650,40800,1224571,38.04
2016-08-05,40750,41250,40750,40900,1317242,37.96
2016-08-08,41150,41200,40800,40900,930498,37.93
2016-08-09,41050,41750,41000,41650,1228404,37.94
2016-08-10,41650,41650,41050,41150,1017541,37.89
2016-08-11,41150,41800,41050,41700,711184,37.93
2016-08-12,41800,42450,41700,42400,1104054,37.97
2016-08-16,42550,42700,41550,41600,1096529,37.89
2016-08-17,41550,42000,41350,41400,936279,37.84
2016-08-18,41500,41600,41000,41150,1179826,37.77
2016-08-19,41250,41550,41150,41250,804706,37.88
2016-08-22,41150,41650,41000,41500,607276,37.88
2016-08-23,41650,42000,41500,42000,827344,37.91
2016-08-24,42150,42750,41850,42550,1407816,37.94
2016-08-25,42750,43100,42600,42900,1081563,37.98
2016-08-26,42950,43000,42050,42350,972667,37.89
2016-08-29,42000,42050,41400,41700,909170,37.8
2016-08-30,41600,42100,41600,41750,463984,37.79
2016-08-31,41550,42200,41400,41950,964608,37.78
2016-09-01,41900,41950,41500,41700,556608,37.75
2016-09-02,41750,42350,41650,41750,739968,37.72
2016-09-05,42000,42500,41800,42300,833754,37.72
2016-09-06,42350,42750,42100,42700,697172,37.75
2016-09-07,42750,43150,42500,42700,1145395,37.77
2016-09-08,42900,44200,42850,44200,2768533,37.98
2016-09-09,44100,44550,43700,44550,1714670,38.07
2016-09-12,44000,44850,43750,44700,1418151,38.07
2016-09-13,45050,45100,43800,44000,1224132,38.04
2016-09-19,44150,44600,43500,44250,1122159,38.06
2016-09-20,44200,44750,44100,44400,847420,38.08
2016-09-21,44100,44300,43600,44100,652478,38.1
2016-09-22,44200,44600,44000,44000,673908,38.11
2016-09-23,44400,44800,44000,44800,908310,38.11
2016-09-26,44550,44550,43600,43750,785928,38.1
2016-09-27,43800,44300,43450,44200,716558,38.15
2016-09-28,43750,43900,42850,42900,1132813,38.09
2016-09-29,43200,43350,42800,42950,636058,38.08
2016-09-30,42500,42750,41850,42150,1258308,38.03
2016-10-04,42050,42800,42050,42300,817968,38.04
2016-10-05,41900,42300,41600,42150,703518,38.13
2016-10-06,42200,42550,42000,42250,686862,38.18
2016-10-07,42100,42400,41850,42150,528568,38.19
2016-10-10,42350,42350,41650,41700,738300,38.18
2016-10-11,42150,42300,41900,42050,603423,38.18
2016-10-12,42300,42800,42100,42400,669575,38.18
2016-10-13,42300,42600,41900,42000,682545,38.19
2016-10-14,42000,42250,41350,41350,979885,38.13
2016-10-17,41700,41850,41400,41650,550383,38.17
2016-10-18,41500,41900,41450,41650,607342,38.2
2016-10-19,41600,41800,41350,41450,467426,38.2
2016-10-20,41450,41550,40750,40800,1218979,38.1
2016-10-21,40900,41250,40900,41050,556911,38.09
2016-10-24,41100,41350,40850,41350,560829,38.1
2016-10-25,41350,41950,41250,41650,844675,38.08
2016-10-26,41650,41800,40950,41450,656148,38.07
2016-10-27,41350,41800,41000,41650,764946,38.1
2016-10-28,41700,41900,41000,41150,918017,38.05
2016-10-31,41050,41300,40450,40700,837677,38.06
2016-11-01,40850,41100,40700,40850,493495,38.06
2016-11-02,40650,41000,40600,40850,581676,38.1
2016-11-03,41000,41300,40750,41150,675165,38.12
2016-11-04,40950,41300,40750,41000,547031,38.07
2016-11-07,41350,41350,40850,40900,388988,38.06
2016-11-08,41150,41650,40900,41450,594573,38.1
2016-11-09,41450,41700,39050,39850,1930741,38.12
2016-11-10,40200,40200,37850,38100,3223287,38.09
2016-11-11,37700,38250,37700,38000,2093897,37.97
2016-11-14,38000,38250,37600,37600,1484410,37.85
2016-11-15,37650,37650,36550,36950,1985921,37.8
2016-11-16,37100,37550,37000,37000,2000024,37.73
2016-11-17,36900,37100,36600,36650,1341878,37.63
2016-11-18,36750,36950,36600,36650,1527823,37.6
2016-11-21,36500,37350,36500,37000,845255,37.61
